timestamp,accX,accY,accZ,anvX,anvY,anvZ
10300,-0.67,-10.03,-2.02,-0.45,0.15,0.18
10400,-1.09,-9.79,-1.68,-0.08,2.2,0.16
10500,-0.76,-9.66,-2.36,0.21,0.91,0.42
10600,-0.99,-8.88,-3.25,-0.06,0.06,0.21
10700,-0.77,-7.49,-3.49,-0.27,-0.1,0.42
10800,-0.88,-9.1,-4.32,0.01,-0.36,-0.13
10900,-1.48,-10.27,-4.34,-1,-1.11,-0.51
11000,-1.32,-9.62,-3.13,-0.93,-1.34,0.04
11100,-2.01,-10.94,-3.12,0.53,-0.02,-0.34
11200,-2.25,-11.15,-3.92,0.91,0.92,0.21
11300,-1.31,-11.06,-3.45,0.11,1.03,0.75
11400,-2.03,-9.06,-2.34,0.6,1.91,0.21
11500,-1.64,-9.18,-2.9,0.5,0.87,0.31
11600,-1.94,-9.88,-3.11,-0.17,0.29,0.31
11700,-1.95,-8.49,-2.24,-0.05,-0.08,-0.16
11800,-1.88,-8.96,-2.72,0.36,-0.22,-0.18
11900,-1.77,-9.12,-2.36,-0.33,-0.86,-0.29
12000,-1.8,-10.02,-1.67,-0.15,-0.75,-0.2
12100,-2.24,-11.03,-2.61,-0.02,-0.64,-0.2
12200,-1.83,-11.28,-2.88,-0.98,-3.06,0.39
12300,-2.73,-9.77,-2.66,-1.38,-2.4,-0.1
12400,-2.43,-9.28,-2.06,-0.88,-2.45,0.29
12500,-2.1,-10.19,-2.44,-0.29,-1.65,-0.79
12600,-3.06,-8.91,-2.66,-0.67,-1.63,-0.73
12700,-2.24,-8.79,-2.15,-0.66,-1.69,-0.23
12800,-1.58,-9.71,-2.27,-0.2,-1.34,-0.57
12900,-1.25,-10.66,-2.13,-0.2,-1.35,-1.07
13000,-0.73,-11.76,-2.32,0.01,-0.94,-1.15
13100,-0.34,-9.84,-1.6,-0.54,-0.63,0.37
13200,0.17,-10.02,-2.19,0.88,0.91,0.54
13300,-0.23,-11.13,-2.49,0.02,-0.46,0.31
13400,-0.45,-9.84,-1.58,-0.42,-0.29,-0.57
13500,-0.84,-9.97,-1.32,0.03,-0.3,-0.05
13600,-0.75,-9.45,-1.83,0.39,0,-0.03
13700,-0.09,-8.3,-1.72,-0.21,0.01,-0.04
13800,-0.48,-8.69,-1.78,-0.22,-0.17,-0.42
13900,0.3,-9.84,-1.92,-0.12,0.04,-0.09
14000,0.08,-11.04,-1.87,0.01,0.03,0
14100,0.07,-10.89,-2.01,0.18,0.24,0.34
14200,-0.94,-10.84,-2.15,0.04,0.18,0.14
14300,-0.81,-9.83,-1.75,-0.3,0.06,0.6
14400,-0.99,-9.79,-1.61,0.01,0.02,0.34
14500,-1.44,-9.28,-2,0.13,0.19,0.22
14600,-1.51,-9.19,-2.19,-0.08,0.01,0.33
14700,-1.67,-9.17,-2.19,-0.15,0.2,0.24
14800,-1.73,-9.32,-2.07,-0.22,0.13,0.36
14900,-2.15,-8.36,-2.2,0.16,0.35,0.02
15000,-2.21,-8.95,-2.06,0.16,0.31,-0.15
15100,-2.56,-9.95,-1.92,-0.03,0.2,-0.16
15200,-2.38,-11.35,-1.71,0.3,0.46,0.05
15300,-3.06,-10.34,-2.09,0.54,0.76,0.2
15400,-3.03,-9.87,-2.18,0.08,0.16,0.54
15500,-3.25,-9.56,-1.98,0,0.31,0.29
15600,-2.75,-7.72,-1.8,-0.3,0.08,0.27
15700,-2.49,-7.59,-1.86,0.46,0.88,-0.3
15800,-1.17,-9.03,-1.82,0.12,0.68,-0.81
15900,-2.67,-10.02,-1.2,0.46,0.27,-0.49
16000,-0.88,-9.97,-1.46,0.14,0.73,-0.02
16100,-1.08,-11.2,-1.95,0.03,-0.18,-0.68
16200,-0.68,-11.38,-1.56,0.1,0.05,-0.17
16300,-0.68,-10.75,-1.68,0.09,1.31,0.19
16400,-1.27,-10.61,-1.39,0.5,1.41,0.41
16500,-1.36,-8.45,-1.75,0.43,2.58,0.77
16600,-2.05,-9.41,-1.53,0.73,1.53,0.17
16700,-2.54,-9.06,-1.87,-0.67,0.29,-0.27
16800,-2.16,-9.07,-0.47,0.35,0.72,-0.04
16900,-1.41,-9.87,-1.92,0.33,0.22,-0.21
17000,-1.89,-10.66,-0.74,-0.06,-1.06,-0.8
17100,-1.16,-10.69,-1.16,-0.19,-1.5,-0.43
17200,-1.2,-11.49,-0.52,-0.54,-0.87,-0.23
17300,0.37,-10.55,-1.32,0.47,-0.19,0.1
17400,0.69,-9.7,-1.57,-0.1,-0.55,-0.2
17500,0.74,-8.91,-0.8,-0.2,-0.5,0.35
17600,0.21,-8.2,-1.69,-0.06,-0.31,-0.27
17700,1.01,-9.3,-0.16,-0.35,-0.16,0
17800,0.68,-10.55,-0.64,0.42,-0.22,-0.19
17900,0.66,-10.68,-0.7,0.27,0.11,0.23
