timestamp,accX,accY,accZ,anvX,anvY,anvZ
10400,-0.17,-10,-0.98,0.11,0.04,-0.03
10500,0.01,-10.02,-0.82,-0.02,0.15,-0.05
10600,-0.08,-10.5,-1.25,0.02,0.17,-0.03
10700,-0.29,-9.81,-0.91,0.05,0,0.08
10800,0.01,-9.83,-0.91,-0.05,-0.01,0.08
10900,0.03,-9.8,-0.7,-0.06,0.03,0.01
11000,-0.07,-9.93,-0.55,-0.03,-0.03,0.04
11100,-0.06,-10.03,-0.68,0.04,0.08,0.03
11200,-0.06,-9.69,-0.91,-0.02,-0.01,-0.01
11300,-0.17,-9.82,-0.7,-0.02,-0.05,0.03
11400,-0.29,-9.87,-0.57,-0.06,-0.07,-0.03
11500,-0.19,-9.71,-0.46,-0.08,-0.05,0.01
11600,-0.24,-10.04,-0.56,-0.11,-0.04,0.04
11700,-0.38,-9.94,-0.57,-0.13,-0.13,0
11800,0.06,-9.76,-0.77,-0.02,-0.01,-0.01
11900,0,-9.85,-1.26,-0.06,0,-0.02
12000,0,-9.68,-1,-0.07,0.04,-0.03
12100,-0.17,-9.87,-1.07,-0.12,-0.05,-0.02
12200,-0.34,-10.01,-1.29,-0.08,-0.04,-0.06
12300,-0.01,-9.98,-1.11,-0.03,0.07,-0.06
12400,-0.04,-10.21,-1.58,-0.1,0.01,-0.01
12500,0,-10.11,-1.66,-0.07,-0.09,-0.02
12600,0,-9.73,-1.25,-0.13,-0.1,-0.02
12700,-0.27,-10.01,-1.42,-0.09,-0.16,0.02
12800,-0.03,-10.13,-2.08,0.1,-0.05,0.05
12900,-0.02,-9.63,-1.26,-0.11,-0.04,0.04
13000,-0.03,-10.05,-1.79,-0.12,-0.09,-0.06
13100,-0.12,-10.05,-1.65,-0.13,-0.06,-0.02
13200,0.12,-9.96,-1.87,-0.03,-0.12,-0.07
13300,-0.04,-9.94,-1.42,-0.01,-0.2,-0.09
13400,0.15,-10.06,-2.05,-0.06,-0.13,0.02
13500,0.09,-9.99,-2.08,-0.04,-0.14,-0.04
13600,0.1,-9.74,-1.81,-0.14,-0.21,0.03
13700,0.18,-10.05,-2.07,-0.02,-0.26,-0.02
13800,0.17,-9.88,-2.09,-0.03,-0.18,-0.04
13900,0.22,-10.13,-2.06,-0.07,-0.19,0.03
14000,0.11,-9.95,-2.4,-0.01,-0.19,0.05
14100,0.19,-9.92,-2.22,0,-0.16,0.01
14200,0.18,-10.01,-2.02,-0.08,-0.15,0
14300,0.21,-9.94,-2.17,-0.05,-0.14,0.01
14400,0.25,-9.57,-2.08,-0.02,-0.09,0.08
14500,-0.09,-10.07,-2.02,-0.07,-0.28,0.01
14600,0,-9.59,-1.97,-0.02,-0.12,-0.02
14700,-0.15,-10.04,-2.47,-0.02,-0.21,-0.05
14800,-0.1,-9.79,-2.16,-0.05,-0.21,0
14900,-0.28,-10.07,-2.22,0.01,-0.13,0.04
15000,-0.05,-9.87,-2.27,-0.06,-0.03,0.03
15100,-0.01,-9.9,-2.58,-0.03,-0.11,0.05
15200,-0.38,-9.94,-2.37,0.01,-0.02,0.06
15300,-0.16,-9.85,-2.1,-0.06,-0.02,0.01
15400,-0.36,-9.77,-2.66,-0.05,-0.04,0.03
15500,-0.18,-9.85,-2.5,-0.02,0.05,0.03
15600,-0.01,-9.84,-2.42,0.03,-0.05,0.02
15700,-0.21,-9.88,-2.51,-0.08,0.02,0.01
15800,0.02,-9.43,-2.16,0.04,-0.07,0
15900,-0.16,-9.9,-2.63,0.04,0.07,-0.05
16000,-0.1,-9.86,-2.73,-0.09,0,0
16100,-0.29,-10.08,-2.16,-0.02,0.09,-0.03
16200,-0.18,-9.78,-2.16,0,0.1,0.04
16300,-0.11,-9.84,-2.31,-0.04,-0.04,0.02
16400,0.17,-9.86,-2.28,0.03,0.1,0.03
16500,-0.01,-9.65,-2.27,-0.01,0.11,-0.03
16600,-0.25,-10.06,-1.95,0.07,0.14,-0.03
16700,-0.1,-10.03,-2.28,0.01,0.16,-0.01
16800,-0.15,-9.73,-2.09,0.01,0.13,0.07
16900,-0.08,-9.88,-2.08,0.01,0.15,0
17000,0.24,-10.02,-2.45,0.05,0.13,0
17100,-0.07,-10.05,-1.76,0.01,0.08,0.02
17200,-0.41,-9.82,-1.97,-0.05,0.19,0.04
17300,-0.01,-9.96,-2.07,0.05,0.19,0.03
17400,0.16,-9.81,-2.51,-0.07,0.04,-0.01
17500,0.29,-9.79,-1.7,0.02,0.19,-0.01
17600,0.16,-9.95,-2.04,-0.03,0.21,-0.07
17700,-0.01,-10.17,-1.59,0.05,0.11,0
17800,-0.14,-10.24,-1.76,-0.03,0.12,0.09
17900,0.14,-9.92,-1.67,0.08,0.34,0
18000,0.1,-10.01,-2.15,0,0.32,0.04
18100,0.31,-9.76,-2.01,0.05,0.25,0.01
18200,0.14,-9.42,-1.78,0.05,0.09,-0.04
18300,0.05,-9.94,-1.69,0.06,0.19,-0.07
18400,-0.16,-9.65,-1.04,0.02,0.07,0
18500,-0.17,-9.94,-1.17,0,0.11,0.03
18600,-0.02,-9.84,-1.46,0.06,0.11,0.05
18700,-0.13,-9.66,-1.26,0.02,0.12,-0.01
18800,-0.09,-9.75,-1.07,0.12,0.02,0.03
18900,-0.23,-10.17,-1.07,0.01,-0.02,-0.13
19000,-0.39,-9.63,-0.4,0.04,0.13,-0.02
19100,-0.03,-10.02,-0.98,0.1,-0.04,-0.04
19200,-0.24,-9.54,-0.42,0.06,0.1,0.01
19300,-0.33,-9.83,-0.14,0.07,-0.07,-0.05
19400,-0.02,-9.84,-0.45,0.26,-0.01,0.01
19500,-0.16,-9.94,-0.8,0.17,0.13,-0.03
19600,-0.23,-9.99,0.17,-0.06,0.06,-0.01
19700,0,-9.95,0.29,-0.04,0.06,0.02
19800,-0.08,-9.68,0.02,-0.03,0.08,0.08
19900,-0.06,-9.53,-0.21,0.05,-0.06,0.01
20000,-0.32,-9.87,-0.04,-0.07,-0.02,-0.01
20100,-0.44,-9.84,0.19,0.04,-0.04,0.02
20200,-0.07,-9.98,0.01,-0.1,0.15,-0.01
20300,-0.17,-9.83,-0.02,-0.04,0,0.01
20400,-0.32,-9.82,-0.1,-0.09,0,-0.01
20500,-0.47,-9.8,0.28,-0.09,-0.07,0.01
20600,-0.2,-9.75,0.12,-0.03,-0.01,0.01
20700,-0.09,-9.97,-0.23,-0.01,0.06,-0.01
20800,-0.06,-9.66,-0.46,-0.14,0.03,-0.02
20900,-0.13,-9.91,-0.28,-0.14,0.06,-0.03
21000,0.04,-9.79,-0.29,-0.21,-0.04,-0.03
21100,-0.33,-9.63,-0.1,-0.17,-0.08,0.02
21200,0.04,-9.77,-0.77,-0.11,-0.06,-0.03
21300,0.06,-9.83,-0.84,-0.16,-0.12,0
21400,-0.22,-9.82,-0.66,-0.13,-0.15,0.03
21500,0,-9.83,-0.84,-0.17,-0.2,-0.08
21600,-0.12,-9.74,-1.15,-0.06,-0.2,-0.02
21700,-0.04,-9.9,-1.45,-0.07,-0.23,-0.01
21800,0,-9.79,-1.49,-0.08,-0.26,-0.07
21900,-0.16,-10.18,-1.44,-0.11,-0.2,-0.03
22000,0.14,-9.91,-1.32,-0.09,-0.12,0
