timestamp,accX,accY,accZ,anvX,anvY,anvZ
11300,0.33,-9.89,-1.61,-0.03,0.01,0
11400,0.33,-9.94,-1.57,-0.03,0.01,0
11500,0.38,-9.9,-1.72,-0.03,0.01,0
11600,0.33,-9.91,-1.68,-0.03,0.01,0
11700,0.33,-9.9,-1.65,-0.03,0.01,0
11800,0.38,-9.89,-1.69,-0.03,0.01,0
11900,0.3,-9.96,-1.67,-0.03,0.01,0
12000,0.31,-9.9,-1.62,-0.03,0.01,0
12100,0.31,-9.84,-1.68,-0.03,0.01,0
12200,0.38,-9.92,-1.58,-0.03,0.01,0
12300,0.4,-9.91,-1.68,-0.03,0.01,0
12400,0.35,-9.95,-1.6,-0.03,0.01,0
12500,0.34,-9.94,-1.68,-0.03,0.01,0
12600,0.32,-9.89,-1.61,-0.03,0.01,0
12700,0.32,-9.96,-1.52,-0.03,0.01,0
12800,0.34,-9.92,-1.57,-0.03,0.01,0
12900,0.28,-9.9,-1.62,-0.03,0.01,0
13000,0.36,-9.92,-1.64,-0.03,0.01,0
13100,0.27,-9.97,-1.64,-0.03,0.01,0
13200,0.37,-9.96,-1.53,-0.03,0.01,0
13300,0.29,-9.92,-1.59,-0.03,0.01,0
13400,0.32,-9.88,-1.65,-0.03,0.01,0
13500,0.33,-9.92,-1.61,-0.03,0.01,0
13600,0.3,-9.93,-1.56,-0.03,0.01,0
13700,0.31,-9.92,-1.63,-0.03,0.01,0
13800,0.28,-9.9,-1.62,-0.03,0.01,0
13900,0.29,-9.95,-1.58,-0.03,0.01,0
14000,0.33,-9.95,-1.58,-0.03,0.01,0
14100,0.29,-9.92,-1.51,-0.03,0.01,0
14200,0.32,-9.88,-1.59,-0.03,0.01,0
14300,0.34,-9.9,-1.64,-0.03,0.01,0
14400,0.34,-9.85,-1.62,-0.03,0.01,0
14500,0.27,-9.94,-1.6,-0.03,0.01,0
14600,0.32,-9.91,-1.57,-0.03,0.01,0
14700,0.36,-9.96,-1.62,-0.03,0.01,0
14800,0.33,-9.9,-1.7,-0.03,0.01,0
14900,0.33,-9.93,-1.65,-0.03,0.01,0
15000,0.34,-9.95,-1.63,-0.03,0.01,0
15100,0.27,-9.94,-1.58,-0.03,0.01,0
15200,0.37,-9.9,-1.69,-0.03,0.01,0
15300,0.35,-9.96,-1.56,-0.03,0.01,0
15400,0.3,-9.98,-1.57,-0.03,0.01,0
15500,0.34,-9.9,-1.62,-0.03,0.01,0
15600,0.3,-9.9,-1.58,-0.03,0.01,0
15700,0.37,-9.9,-1.52,-0.03,0.01,0
15800,0.3,-9.91,-1.64,-0.03,0.01,0
15900,0.34,-9.91,-1.63,-0.03,0.01,0
16000,0.29,-9.97,-1.62,-0.03,0.01,0
16100,0.32,-9.95,-1.67,-0.03,0.01,0
16200,0.24,-9.92,-1.59,-0.03,0.01,0
16300,0.35,-9.9,-1.6,-0.03,0.01,0
16400,0.33,-9.94,-1.69,-0.03,0.01,0
16500,0.28,-9.86,-1.64,-0.03,0.01,0
16600,0.33,-9.95,-1.67,-0.03,0.01,0
16700,0.29,-9.93,-1.6,-0.03,0.01,0
16800,0.26,-9.91,-1.59,-0.03,0.01,0
16900,0.34,-9.94,-1.63,-0.03,0.01,0
17000,0.36,-9.89,-1.57,-0.03,0.01,0
17100,0.26,-9.97,-1.65,-0.03,0.01,0
17200,0.39,-9.9,-1.58,-0.03,0.01,0
17300,0.31,-9.92,-1.61,-0.03,0.01,0
17400,0.33,-9.94,-1.59,-0.03,0.01,0
17500,0.28,-9.9,-1.61,-0.03,0.01,0
17600,0.24,-9.9,-1.59,-0.03,0.01,0
17700,0.33,-9.88,-1.64,-0.03,0.01,0
17800,0.27,-9.93,-1.64,-0.03,0.01,0
17900,0.28,-9.89,-1.6,-0.03,0.01,0
18000,0.31,-9.95,-1.61,-0.03,0.01,0
18100,0.29,-9.95,-1.65,-0.03,0.01,0
18200,0.34,-9.86,-1.64,-0.03,0.01,0
18300,0.32,-9.87,-1.58,-0.03,0.01,0
18400,0.32,-9.91,-1.62,-0.03,0.01,0
18500,0.3,-9.9,-1.55,-0.03,0.01,0
18600,0.27,-9.94,-1.58,-0.03,0.01,0
18700,0.29,-9.9,-1.67,-0.03,0.01,0
18800,0.31,-9.86,-1.67,-0.03,0.01,0
18900,0.29,-9.87,-1.65,-0.03,0.01,0
19000,0.34,-9.97,-1.54,-0.03,0.01,0
19100,0.29,-9.91,-1.66,-0.03,0.01,0
19200,0.27,-9.9,-1.65,-0.03,0.01,0
19300,0.37,-9.9,-1.64,-0.03,0.01,0
19400,0.28,-9.89,-1.49,-0.03,0.01,0
19500,0.31,-9.88,-1.64,-0.03,0.01,0
19600,0.32,-9.9,-1.5,-0.03,0.01,0
19700,0.34,-9.91,-1.55,-0.03,0.01,0
19800,0.32,-9.97,-1.63,-0.03,0.01,0
19900,0.33,-9.91,-1.53,-0.03,0.01,0
20000,0.29,-9.95,-1.71,-0.03,0.01,0
20100,0.33,-9.9,-1.64,-0.03,0.01,0
20200,0.31,-9.86,-1.68,-0.03,0.01,0
20300,0.32,-9.92,-1.59,-0.03,0.01,0
20400,0.34,-9.94,-1.54,-0.03,0.01,0
20500,0.28,-9.92,-1.7,-0.03,0.01,0
20600,0.33,-9.93,-1.54,-0.03,0.01,0
20700,0.28,-9.93,-1.53,-0.03,0.01,0
20800,0.34,-9.94,-1.52,-0.03,0.01,0
20900,0.34,-9.89,-1.63,-0.03,0.01,0
